,movieTitle,year,imageUrl,url
30,Bound,1996,https://a.ltrbxd.com/resized/film-poster/4/7/2/8/9/47289-bound-0-125-0-187-crop.jpg?v=54e3ef63ae,https://letterboxd.com/film/bound/
31,The Vampire Lovers,1970,https://a.ltrbxd.com/resized/film-poster/3/0/7/7/0/30770-the-vampire-lovers-0-125-0-187-crop.jpg?v=4544f7641a,https://letterboxd.com/film/the-vampire-lovers/
32,A Woman Is a Woman,1961,https://a.ltrbxd.com/resized/film-poster/3/1/1/0/3/31103-a-woman-is-a-woman-0-125-0-187-crop.jpg?v=74cfc72b7d,https://letterboxd.com/film/a-woman-is-a-woman/
33,Begin Again,2013,https://a.ltrbxd.com/resized/film-poster/1/4/2/2/9/9/142299-begin-again-0-125-0-187-crop.jpg?v=4050295ee8,https://letterboxd.com/film/begin-again/
34,Free Radicals,1958,https://a.ltrbxd.com/resized/film-poster/1/0/0/8/2/8/100828-free-radicals-0-125-0-187-crop.jpg?v=af922d4ebd,https://letterboxd.com/film/free-radicals-1958/
35,The Handmaiden,2016,https://a.ltrbxd.com/resized/sm/upload/pc/n6/pz/mi/wvzfK5QR6dGLwND8MCzWjsQWG4Q-0-125-0-187-crop.jpg?v=bcfcc8f8f6,https://letterboxd.com/film/the-handmaiden/
36,Burning,2018,https://a.ltrbxd.com/resized/film-poster/4/2/2/0/3/5/422035-burning-0-125-0-187-crop.jpg?v=34c9bc6300,https://letterboxd.com/film/burning-2018/
37,Watching the Detectives,2007,https://a.ltrbxd.com/resized/film-poster/3/8/0/7/6/38076-watching-the-detectives-0-125-0-187-crop.jpg?v=74ccaf00e3,https://letterboxd.com/film/watching-the-detectives/
38,Blue,2002,https://a.ltrbxd.com/resized/film-poster/8/1/5/0/1/81501-blue-0-125-0-187-crop.jpg?v=2e71844f4d,https://letterboxd.com/film/blue-2002/
39,20th Century Girl,2022,https://a.ltrbxd.com/resized/film-poster/7/6/6/1/9/7/766197-20th-century-girl-0-125-0-187-crop.jpg?v=b609c07095,https://letterboxd.com/film/20th-century-girl/
40,Babylon,2022,https://a.ltrbxd.com/resized/film-poster/5/4/2/7/7/3/542773-babylon-0-125-0-187-crop.jpg?v=aab2f01937,https://letterboxd.com/film/babylon-2022/
41,The World,2004,https://a.ltrbxd.com/resized/film-poster/2/3/7/2/9/23729-the-world-0-125-0-187-crop.jpg?v=7626e4d617,https://letterboxd.com/film/the-world/
42,Ten,2002,https://a.ltrbxd.com/resized/film-poster/4/2/9/3/5/42935-ten-0-125-0-187-crop.jpg?v=569ebfda2c,https://letterboxd.com/film/ten-2002/
43,How They Get There,1997,https://a.ltrbxd.com/resized/film-poster/1/0/5/1/0/7/105107-how-they-get-there-0-125-0-187-crop.jpg?v=a2deaf6509,https://letterboxd.com/film/how-they-get-there/
44,Down to Earth,1947,https://a.ltrbxd.com/resized/film-poster/1/0/1/2/6/10126-down-to-earth-0-125-0-187-crop.jpg?v=9109c0bafa,https://letterboxd.com/film/down-to-earth/
45,Saving Face,2004,https://a.ltrbxd.com/resized/film-poster/3/9/7/1/1/39711-saving-face-0-125-0-187-crop.jpg?v=cc366a685a,https://letterboxd.com/film/saving-face/
46,Kathal,2023,https://a.ltrbxd.com/resized/film-poster/8/5/0/7/5/6/850756-kathal-0-125-0-187-crop.jpg?v=bf06f8a908,https://letterboxd.com/film/kathal/
47,A Cat in Paris,2010,https://a.ltrbxd.com/resized/sm/upload/bj/wo/mj/6d/lYt6VAP26Eu9vOl5OmfwHDp9arg-0-125-0-187-crop.jpg?v=f25f72edff,https://letterboxd.com/film/a-cat-in-paris/
48,Audrey’s Beard,2001,https://a.ltrbxd.com/resized/film-poster/6/3/5/4/0/4/635404-audrey-s-beard-0-125-0-187-crop.jpg?v=23e45d8f5a,https://letterboxd.com/film/audreys-beard/
49,Stud Life,2012,https://a.ltrbxd.com/resized/film-poster/1/2/9/5/4/6/129546-stud-life-0-125-0-187-crop.jpg?v=1cef391483,https://letterboxd.com/film/stud-life/
50,Suzhou River,2000,https://a.ltrbxd.com/resized/film-poster/4/5/1/5/1/45151-suzhou-river-0-125-0-187-crop.jpg?v=b6f5e42e5d,https://letterboxd.com/film/suzhou-river/
51,Good Morning,1959,https://a.ltrbxd.com/resized/film-poster/5/5/8/6/4/55864-good-morning-0-125-0-187-crop.jpg?v=1793183742,https://letterboxd.com/film/good-morning/
52,Where Is the Friend's House?,1987,https://a.ltrbxd.com/resized/film-poster/1/5/6/6/9/15669-where-is-the-friend-s-house--0-125-0-187-crop.jpg?v=fa9af1e128,https://letterboxd.com/film/where-is-the-friends-house/
53,The Watermelon Woman,1996,https://a.ltrbxd.com/resized/film-poster/2/0/7/0/3/20703-the-watermelon-woman-0-125-0-187-crop.jpg?v=11ffcd731b,https://letterboxd.com/film/the-watermelon-woman/
54,Haru,1996,https://a.ltrbxd.com/resized/film-poster/1/8/5/0/4/6/185046-haru-0-125-0-187-crop.jpg?v=0ab7020ee4,https://letterboxd.com/film/haru/
55,Close-Up,1990,https://a.ltrbxd.com/resized/sm/upload/t8/k4/3s/ts/xrgd24H2WnZVeiWDnnJxHkC7UVY-0-125-0-187-crop.jpg?v=8ef4459add,https://letterboxd.com/film/close-up/
